Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Markus,Lundh,Strandvägen 41,Halmstad,70685,Sverige,SE,19860210-8573,+46,0105-090 53,1986-02-10,True
Michelle,Johnson,Lyons Club 6146,South Robertfort,31693,Danmark,DK,19730508-5985,+45,911-247-4689,1973-05-08,True
Eric,Bergström,Kvarnvägen 10,Kalmar,83038,Sverige,SE,19561105-8043,+46,062-766 63 77,1956-11-05,True
Agnes,Axelsson,Björkgatan 0,Lund,68648,Sverige,SE,19950517-6647,+46,0403-56 29 14,1995-05-17,True
Inger,Lie,Andersenskrenten 93,Haugland,7001,Norge,NO,19580516-8203,+47,28 38 64 90,1958-05-16,True
Kåre,Ruud,Moenvika 18E,Helgeås,5951,Norge,NO,19530225-8955,+47,929 42 337,1953-02-25,True
Birgitta,Ivarsson,Skolgränd 817,Kalmar,53267,Sverige,SE,19870302-8335,+46,08-51 33 54,1987-03-02,True
Berit,Jensen,Edvardsenstykket 7H,Ritafjord,4595,Norge,NO,19801103-4131,+47,92124108,1980-11-03,True
Nils,Sjöblom,Storvägen 2,Östersund,88914,Sverige,SE,19490505-1967,+46,08-661 37 82,1949-05-05,True
Siri,Forsberg,Trädgårdsstigen 36,Falun,84213,Sverige,SE,19520212-8363,+46,08-235 367 61,1952-02-12,True
Jan,Danielsson,Kyrkogränd 403,Sandviken,72571,Sverige,SE,19641112-4193,+46,+46 (0)714 073 97,1964-11-12,True
Johan,Olofsson,Björktorget 283,Norrköping,98532,Sverige,SE,19970725-1057,+46,0807-764 60,1997-07-25,True
Tomas,Nordström,Stationsgatan 4,Västerås,15206,Sverige,SE,19481023-3628,+46,08-950 027 13,1948-10-23,True
Michael,Thomas,Michael Harbor 63374,Salasstad,57661,Danmark,DK,19510711-5375,+45,001-495-424-1505,1951-07-11,True
Karin,Edvardsen,Thorsensvingen 48B,Paulsen,9888,Norge,NO,19720327-1253,+47,+47 42 78 93 20,1972-03-27,True
Tove,Hammar,Parkgatan 188,Landskrona,54124,Sverige,SE,19550714-3407,+46,0315-229 60,1955-07-14,True
Katarina,Gustafsson,Gengatan 47,Göteborg,49591,Sverige,SE,19860603-0933,+46,0899-310 28,1986-06-03,True
Emilia,Axelsson,Nyvägen 1,Halmstad,96712,Sverige,SE,19931106-3660,+46,034-044 22 09,1993-11-06,True
Rikard,Olofsson,Kvarngatan 359,Mölndal,24858,Sverige,SE,19471012-4472,+46,08-286 42 74,1947-10-12,True
Randi,Evensen,Nilseneggen 80,Sandvik,0126,Norge,NO,19730329-4249,+47,+47 29 88 04 99,1973-03-29,True
Kurt,Palmqvist,Industritorget 2,Jönköping,44280,Sverige,SE,19801212-4159,+46,+46 (0)8 014 782 88,1980-12-12,True
Ville,Karhu,Maakuja 177,Iitti,23457,Finland,FI,19850122-166U,+358,080 937 6595,1985-01-22,True
Sophie,Andersson,Stationsstigen 8,Motala,43181,Sverige,SE,19510815-5034,+46,08-724 33 07,1951-08-15,True
Olavi,Koskinen,Runeberginkatu 181,Laihia,48788,Finland,FI,19640222-850K,+358,(+358) 834462033,1964-02-22,True
Olivia,Järvinen,Immolankatu 932,Kannonkoski,29774,Finland,FI,19711104-5075,+358,+358 438381350,1971-11-04,True
Kristiina,Lahti,Salamakatu 624,Inkoo,58260,Finland,FI,19901107-752T,+358,+358298720137,1990-11-07,True
Greta,Gustafsson,Fabriksvägen 9,Örebro,99087,Norge,SE,19540921-9931,+46,+46 (0)8 156 238 58,1954-09-21,True
Ellen,Jonsson,Nygatan 01,Falun,60891,Sverige,SE,19510412-2551,+46,08-142 131 91,1951-04-12,True
Andrea,Norman,Skolvägen 780,Kristianstad,81668,Sverige,SE,19800220-6365,+46,+46 (0)507 714 55,1980-02-20,True
Karin,Andersson,Stationstorget 1,Linköping,14152,Sverige,SE,19870322-0394,+46,080-337 00 29,1987-03-22,True
Jens,Johansen,Edvardsenvollen 32,Ragnhildvåg,5229,Norge,NO,19820314-3484,+47,+47 49 62 76 15,1982-03-14,True
Karin,Borg,Björkvägen 83,Norrköping,46015,Sverige,SE,19811001-8163,+46,0059-809 45,1981-10-01,True
Tara,Wilson,Michael Village 9294,Port Vincentbury,78491,Danmark,DK,19680821-4711,+45,780-813-3002,1968-08-21,True
Lea,Lindström,Industristigen 196,Stockholm,38544,Sverige,SE,19930703-2940,+46,08-920 580 59,1993-07-03,True
Dan,Eriksson,Furuvägen 1,Uddevalla,47841,Sverige,SE,19600403-7954,+46,+46 (0)775 209 25,1960-04-03,True
Amber,Smith,Freeman Crossroad 420,Bettyborough,36555,Danmark,DK,19660910-0515,+45,2365367611,1966-09-10,True
Olavi,Jokela,Orapihlajakatu 1,Tyrnävä,97834,Finland,FI,19490906-414U,+358,(+358) 835094087,1949-09-06,True
Johannes,Ahmed,Skolgränd 43,Ängelholm,32122,Sverige,SE,19590418-5889,+46,0346-290 96,1959-04-18,True
Ossian,Smith,Industristigen 34,Lidingö,47650,Sverige,SE,19470809-8057,+46,08-57 52 59,1947-08-09,True
Thomas,Lundin,Ektorget 3,Sundsvall,31649,Sverige,SE,19730321-6890,+46,047-15 10 19,1973-03-21,True
Sofia,Karjalainen,Lukkarimäentie 424,Sotkamo,56238,Finland,FI,19650526-526M,+358,(+358) 337781386,1965-05-26,True
Love,Rehn,Idrottsvägen 5,Skövde,16779,Sverige,SE,19950401-2638,+46,+46 (0)8 540 915 70,1995-04-01,True
Rickard,Andersson,Ekgatan 8,Kalmar,33971,Sverige,SE,19560704-1418,+46,08-29 36 24,1956-07-04,True
Robin,Johansson,Parkvägen 916,Mölndal,79218,Sverige,SE,19670320-0379,+46,0292-83 25 25,1967-03-20,True
Stacy,Orozco,Jessica Turnpike 72736,New Ashleyport,68822,Danmark,DK,19811204-0954,+45,322.822.6740x1163,1981-12-04,True
Tommy,Hagen,Johannessenmoen 3,Jansund,4086,Norge,NO,19621117-9813,+47,+47 24 30 71 87,1962-11-17,True
